aisportsguru-mobile/app/index.tsx(5,24): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/league/[id].tsx(1,48): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/nfl/index.tsx(2,73): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/nfl/index.tsx(3,33): error TS2307: Cannot find module '@/lib/api' or its corresponding type declarations.
aisportsguru-mobile/app/nfl/index.tsx(98,8): error TS2304: Cannot find name '__DEV__'.
aisportsguru-mobile/app/predictions.tsx(1,26): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/premium-example.tsx(2,28): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/premium-tools/index.tsx(1,26): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/premium-tools/index.tsx(2,28): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/premium-tools/index.tsx(6,11): error TS2339: Property 'hasPro' does not exist on type 'Ctx'.
aisportsguru-mobile/app/settings.tsx(1,26): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/sign-in.tsx(1,26): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/sign-up.tsx(1,26): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/components/Collapsible.tsx(2,46): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/components/Collapsible.tsx(4,28): error TS2307: Cannot find module '@/components/ThemedText' or its corresponding type declarations.
aisportsguru-mobile/components/Collapsible.tsx(5,28): error TS2307: Cannot find module '@/components/ThemedView' or its corresponding type declarations.
aisportsguru-mobile/components/Collapsible.tsx(6,28): error TS2307: Cannot find module '@/components/ui/IconSymbol' or its corresponding type declarations.
aisportsguru-mobile/components/Collapsible.tsx(7,24): error TS2307: Cannot find module '@/constants/Colors' or its corresponding type declarations.
aisportsguru-mobile/components/Collapsible.tsx(8,32): error TS2307: Cannot find module '@/hooks/useColorScheme' or its corresponding type declarations.
aisportsguru-mobile/components/ExternalLink.tsx(1,28): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/components/ExternalLink.tsx(2,34): error TS2307: Cannot find module 'expo-web-browser' or its corresponding type declarations.
aisportsguru-mobile/components/ExternalLink.tsx(4,26): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/components/HapticTab.tsx(1,41): error TS2307: Cannot find module '@react-navigation/bottom-tabs' or its corresponding type declarations.
aisportsguru-mobile/components/HapticTab.tsx(2,35): error TS2307: Cannot find module '@react-navigation/elements' or its corresponding type declarations.
aisportsguru-mobile/components/HapticTab.tsx(3,26): error TS2307: Cannot find module 'expo-haptics' or its corresponding type declarations.
aisportsguru-mobile/components/HelloWave.tsx(2,28): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/components/HelloWave.tsx(9,8): error TS2307: Cannot find module 'react-native-reanimated' or its corresponding type declarations.
aisportsguru-mobile/components/HelloWave.tsx(11,28): error TS2307: Cannot find module '@/components/ThemedText' or its corresponding type declarations.
aisportsguru-mobile/components/ParallaxScrollView.tsx(2,28): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/components/ParallaxScrollView.tsx(8,8): error TS2307: Cannot find module 'react-native-reanimated' or its corresponding type declarations.
aisportsguru-mobile/components/ParallaxScrollView.tsx(10,28): error TS2307: Cannot find module '@/components/ThemedView' or its corresponding type declarations.
aisportsguru-mobile/components/ParallaxScrollView.tsx(11,38): error TS2307: Cannot find module '@/components/ui/TabBarBackground' or its corresponding type declarations.
aisportsguru-mobile/components/ParallaxScrollView.tsx(12,32): error TS2307: Cannot find module '@/hooks/useColorScheme' or its corresponding type declarations.
aisportsguru-mobile/components/PurchasesProvider.tsx(2,33): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/components/PurchasesProvider.tsx(3,70): error TS2307: Cannot find module 'react-native-purchases' or its corresponding type declarations.
aisportsguru-mobile/components/PurchasesProvider.tsx(36,27): error TS2304: Cannot find name '__DEV__'.
aisportsguru-mobile/components/SportCard.tsx(2,46): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/components/ThemedText.tsx(1,50): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/components/ThemedText.tsx(3,31): error TS2307: Cannot find module '@/hooks/useThemeColor' or its corresponding type declarations.
aisportsguru-mobile/components/ThemedView.tsx(1,38): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/components/ThemedView.tsx(3,31): error TS2307: Cannot find module '@/hooks/useThemeColor' or its corresponding type declarations.
aisportsguru-mobile/components/ui/IconSymbol.ios.tsx(1,59): error TS2307: Cannot find module 'expo-symbols' or its corresponding type declarations.
aisportsguru-mobile/components/ui/IconSymbol.ios.tsx(2,38): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/components/ui/IconSymbol.tsx(3,27): error TS2307: Cannot find module '@expo/vector-icons/MaterialIcons' or its corresponding type declarations.
aisportsguru-mobile/components/ui/IconSymbol.tsx(4,47): error TS2307: Cannot find module 'expo-symbols' or its corresponding type declarations.
aisportsguru-mobile/components/ui/IconSymbol.tsx(6,66): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/components/ui/TabBarBackground.ios.tsx(1,39): error TS2307: Cannot find module '@react-navigation/bottom-tabs' or its corresponding type declarations.
aisportsguru-mobile/components/ui/TabBarBackground.ios.tsx(2,26): error TS2307: Cannot find module 'expo-blur' or its corresponding type declarations.
aisportsguru-mobile/components/ui/TabBarBackground.ios.tsx(3,28): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/hooks/useColorScheme.ts(1,32): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/hooks/useColorScheme.web.ts(2,52): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/hooks/useThemeColor.ts(6,24): error TS2307: Cannot find module '@/constants/Colors' or its corresponding type declarations.
aisportsguru-mobile/hooks/useThemeColor.ts(7,32): error TS2307: Cannot find module '@/hooks/useColorScheme' or its corresponding type declarations.
aisportsguru-mobile/lib/api.ts(58,9): error TS2304: Cannot find name '__DEV__'.
aisportsguru-mobile/lib/revenuecat.ts(1,26): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/lib/revenuecat.ts(2,71): error TS2307: Cannot find module 'react-native-purchases' or its corresponding type declarations.
aisportsguru-mobile/lib/useSportsList.ts(2,10): error TS2305: Module '"./api"' has no exported member 'getSportsList'.
aisportsguru-mobile/providers/EntitlementProvider.tsx(2,64): error TS2307: Cannot find module 'react-native-purchases' or its corresponding type declarations.
aisportsguru-mobile/screens/LoginScreen.tsx(2,59): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/src/components/Card.tsx(2,45): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/src/components/Disclaimer.tsx(2,40): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/src/components/GameRow.tsx(2,40): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/src/components/GradientButton.tsx(2,56): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/src/components/GradientButton.tsx(3,32): error TS2307: Cannot find module 'expo-linear-gradient' or its corresponding type declarations.
aisportsguru-mobile/src/components/LegalFooter.tsx(2,40): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/src/components/LegalNote.tsx(2,28): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/src/components/Paywall.tsx(3,39): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
